super_opeid,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count,opeid,institution_name,superopeid_name,multi,longitude,latitude,city,full_opeid,region,fips,cz,cfips,county,zip,tier,tier_name,type,iclevel,public,barrons,exp_instr_pc_2000,exp_instr_pc_2013,hbcu,flagship,ipeds_enrollment_2013,ipeds_enrollment_2000,sticker_price_2013,sticker_price_2000,grad_rate_150_p_2013,grad_rate_150_p_2002,avgfacsal_2013,avgfacsal_2001,sat_avg_2013,sat_avg_2001,scorecard_netprice_2013,scorecard_rej_rate_2013,scorecard_median_earnings_2011,endowment_pc_2000,exp_instr_2012,exp_instr_2000,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000
2665,Vaughn College Of Aeronautics And Technology,New York,NY,30900,53000,36.477882,0.11981525,44.843544,1.7666298999999999,16.357975,0.64442915,-7.9987764000000015,-5.7506108,207.66666666666669,2665,VAUGHN COLLEGE OF AERONAUTICS AND TECHNOLOGY,VAUGHN COLLEGE OF AERONAUTICS AND TECHNOLOGY,0,-73.881721,40.768347999999996,Flushing,266500.0,1,36,19400,36081,Queens,11369,8,Nonselective four-year private not-for-profit,2,1,0,9,7395.8291,5508.3994,0,0,1724,1297.0,21642.0,,0.5555555555555556,0.3488372093023256,9139.0,41498.637931034486,,,17385.0,0.22939999,50000.0,,9320875.0,8511076.0,0.13723978,0.19660756,0.34464148,0.057054743,0.0,0.0,0.0,0.0,0.0,56.493506999999994,0.0,43.506493
7022,CUNY Lehman College,New York,NY,32500,40700,36.707489,0.0,27.882966999999997,0.18963498,10.235138000000001,0.069610246,-5.7339659,-9.072346699999999,468.33333333333326,7022,CUNY LEHMAN COLLEGE,CUNY LEHMAN COLLEGE,0,-73.895379,40.872962,Bronx,702200.0,1,36,19400,36005,Bronx,10468,5,Selective public,1,1,1,5,3842.958,7139.103,0,0,9886,8768.0,6408.0,3320.0,,,7271.0,,995.0,889.0,2668.0,0.76719999,41500.0,,,,0.042473275,0.37330252,0.45333719,0.01502456,8.4421234,11.83638,18.276761999999998,3.2201915,8.2680588,13.141863,36.814621,0.0
2693,CUNY John Jay College Of Criminal Justice,New York,NY,41800,45200,27.158951000000002,0.097911149,35.684139,0.30840749,9.6914377,0.083760239,-3.9944887000000002,-8.185668,1228.0,2693,CUNY JOHN JAY COLLEGE OF CRIMINAL JUSTICE,CUNY JOHN JAY COLLEGE OF CRIMINAL JUSTICE,0,-73.98841,40.770351,New York,269300.0,1,36,19400,36061,New York,10019,5,Selective public,1,1,1,4,3042.1917,6199.8784,0,0,13217,10612.0,6359.0,3309.0,,,7339.0,,970.0,860.0,3470.0,0.6595,43700.0,,,,0.05084214,0.29992676,0.37734073,0.011612093,0.0,0.0,0.0,0.0,59.247645999999996,4.937304,35.815048,0.0
2165,MCPHS University,Boston,MA,83300,112700,10.234574,0.77554816,91.293564,9.4175987,9.343506800000002,0.96385115,-1.5396656000000002,-5.452856099999999,173.5,2165,MCPHS UNIVERSITY,MCPHS UNIVERSITY,0,-71.101244,42.336825,Boston,216500.0,1,25,20500,25025,Suffolk,2115,8,Nonselective four-year private not-for-profit,2,1,0,9,5756.1772,9287.2422,0,0,3897,1877.0,29500.0,17343.0,0.6174496644295302,0.975,8066.0,57744.870967741925,1080.0,1176.0,28944.0,0.1079,116400.0,,48640256.0,14177059.0,0.35739315,0.056061665999999996,0.011212333,0.043447793,0.0,0.0,98.319328,0.0,0.0,1.6806723000000001,0.0,0.0
2791,Pace University,New York,NY,68600,60700,15.173292000000002,1.2134688,55.57559200000001,2.761539,8.4326468,0.41901636,-5.950985,-13.538048999999999,1353.333333333333,2791,PACE UNIVERSITY,PACE UNIVERSITY,0,-74.004719,40.711014,New York,279100.0,1,36,19400,36061,New York,10038,6,Selective private,2,1,0,4,10436.609,9327.0703,0,0,8289,7911.0,39697.0,16230.0,0.5146389069616135,0.5194524495677233,11627.0,79690.67365967366,1050.0,1020.0,19651.0,0.2317,58400.0,,114213297.0,82767520.0,0.15186794,0.1397046,0.12250217,0.060469157999999995,4.842342400000001,54.842342,4.842342400000001,3.3783784,2.0270271,14.189189,15.878378,0.0
21662,ITI Technical College,Baton Rouge,LA,56000,55000,20.257362,0.34329841,40.163651,0.14645728,8.136097,0.029668383,-10.871756,-16.802845,92.0,21662,ITI TECHNICAL COLLEGE,ITI TECHNICAL COLLEGE,0,-91.030485,30.369764,Baton Rouge,2166200.0,3,22,3500,22033,East Baton Rouge,70817,11,Two-year for-profit,3,2,0,999,4567.5166,4566.9126,0,0,630,320.0,10575.0,,0.8151260504201681,0.9938271604938272,3693.0,38845.0,,,17832.0,,41700.0,,2640371.0,1316263.0,0.03125,0.19374999,0.0062500001,0.0,0.0,0.0,0.0,0.0,0.0,61.965813,0.0,38.034187
2687,CUNY Brooklyn College,New York,NY,52200,44300,23.247004,0.78585011,34.696301,0.71291935,8.0658493,0.16573238,-2.6277237,-3.8919907,1009.666666666667,2687,CUNY BROOKLYN COLLEGE,CUNY BROOKLYN COLLEGE,0,-73.949898,40.631516999999995,Brooklyn,268700.0,1,36,19400,36047,Kings,11210,5,Selective public,1,1,1,4,3783.0244,6696.8579,0,0,13596,15039.0,6536.0,3393.0,,,7529.0,,1085.0,990.0,3923.0,0.68019998,44500.0,,,,0.09044977300000001,0.28749752,0.10441846,0.038042400000000004,10.530087,18.982807,6.446991400000001,1.0028653,0.0,15.830945000000002,47.206306,0.0
2689,CUNY Hunter College,New York,NY,49800,44400,21.163614000000003,0.56101543,35.636646,0.84728265,7.5420022,0.17931563,-4.534926400000001,-10.824342,1489.333333333333,2689,CUNY HUNTER COLLEGE,CUNY HUNTER COLLEGE,0,-73.964795,40.768669,New York,268900.0,1,36,19400,36061,New York,10065,5,Selective public,1,1,1,4,3489.1755,6699.4121,0,0,16689,20011.0,6429.0,3333.0,,,7895.0,,1160.0,985.0,4698.0,0.70279998,44800.0,,,,0.13345438,0.19713378,0.22229427,0.057972893,24.931053,6.9498072,10.976282000000001,3.9161612999999997,0.0,7.722007799999999,45.504688,0.0
11189,United Talmudical Seminary,New York,NY,21200,15300,60.977478000000005,0.5769859,11.770000999999999,0.64897782,7.1770496,0.39573029,-4.1445279,3.4881175000000004,218.0,11189,UNITED TALMUDICAL SEMINARY,UNITED TALMUDICAL SEMINARY,0,-73.959113,40.705687,Brooklyn,1118900.0,1,36,19400,36047,Kings,11211,8,Nonselective four-year private not-for-profit,2,1,0,999,1694.6727,3026.6838,0,0,1814,1640.0,13530.0,5000.0,0.4325068870523416,0.9870689655172412,3624.0,11375.51748251748,,,4768.0,,13400.0,,5230683.0,3952951.75,0.0,0.0,0.0020270271,0.012162161999999999,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2690,CUNY Queens College,New York,NY,63300,48200,20.142742000000002,1.2734835,35.4384,0.78856534,7.1382656,0.15883869,-7.1461072,-8.796628,1052.666666666667,2690,CUNY QUEENS COLLEGE,CUNY QUEENS COLLEGE,0,-73.816098,40.735182,Queens,269000.0,1,36,19400,36081,Queens,11367,5,Selective public,1,1,1,4,3853.5,6069.6406,0,0,15351,15061.0,6507.0,3403.0,,,7624.0,,1090.0,1045.0,3538.0,0.62980002,48000.0,,,,0.1753922,0.10397665,0.15113097,0.042411529,13.702623999999998,17.735666000000002,4.2274051,2.0894072,0.0,11.516035,50.728863,0.0
